0, 0
0.1, 0.285749
0.2, 0.561328
0.3, 0.827009
0.4, 1.08306
0.5, 1.32973
0.6, 1.56728
0.7, 1.79596
0.8, 2.016
0.9, 2.22764
1, 2.43111
1.1, 2.62664
1.2, 2.81444
1.3, 2.99472
1.4, 3.16769
1.5, 3.33356
1.6, 3.49252
1.7, 3.64477
1.8, 3.7905
1.9, 3.92988
2, 4.06311
2.1, 4.19035
2.2, 4.31177
2.3, 4.42755
2.4, 4.53784
2.5, 4.6428
2.6, 4.74259
2.7, 4.83736
2.8, 4.92725
2.9, 5.01242
3, 5.09299
3.1, 5.16911
3.2, 5.2409
3.3, 5.30851
3.4, 5.37205
3.5, 5.43164
3.6, 5.48742
3.7, 5.53949
3.8, 5.58796
3.9, 5.63296
4, 5.67459
4.1, 5.71296
4.2, 5.74816
4.3, 5.7803
4.4, 5.80947
4.5, 5.83578
4.6, 5.85931
4.7, 5.88015
4.8, 5.8984
4.9, 5.91414
5, 5.92745
5.1, 5.93841
5.2, 5.94711
5.3, 5.95361
5.4, 5.958
5.5, 5.96035
5.6, 5.96073
5.7, 5.95921
5.8, 5.95586
5.9, 5.95073
6, 5.94391
6.1, 5.93544
6.2, 5.92539
6.3, 5.91382
6.4, 5.90079
6.5, 5.88635
6.6, 5.87055
6.7, 5.85345
6.8, 5.8351
6.9, 5.81555
7, 5.79485
7.1, 5.77304
7.2, 5.75018
7.3, 5.7263
7.4, 5.70145
7.5, 5.67567
7.6, 5.649
7.7, 5.62148
7.8, 5.59316
7.9, 5.56406
8, 5.53423
8.1, 5.5037
8.2, 5.4725
8.3, 5.44067
8.4, 5.40824
8.5, 5.37524
8.6, 5.3417
8.7, 5.30765
8.8, 5.27313
8.9, 5.23815
9, 5.20275
9.1, 5.16695
9.2, 5.13077
9.3, 5.09425
9.4, 5.0574
9.5, 5.02025
9.6, 4.98282
9.7, 4.94513
9.8, 4.90721
9.9, 4.86907
10, 4.83074
10.1, 4.79222
10.2, 4.75355
10.3, 4.71474
10.4, 4.6758
10.5, 4.63675
10.6, 4.59762
10.7, 4.55841
10.8, 4.51914
10.9, 4.47982
11, 4.44047
11.1, 4.4011
11.2, 4.36173
11.3, 4.32237
11.4, 4.28302
11.5, 4.24371
11.6, 4.20444
11.7, 4.16522
11.8, 4.12607
11.9, 4.087
12, 4.048
12.1, 4.0091
12.2, 3.97031
12.3, 3.93162
12.4, 3.89305
12.5, 3.85462
12.6, 3.81631
12.7, 3.77815
12.8, 3.74014
12.9, 3.70229
13, 3.66459
13.1, 3.62707
13.2, 3.58972
13.3, 3.55256
13.4, 3.51558
13.5, 3.47879
13.6, 3.44219
13.7, 3.4058
13.8, 3.36961
13.9, 3.33364
14, 3.29787
14.1, 3.26232
14.2, 3.227
14.3, 3.1919
14.4, 3.15702
14.5, 3.12238
14.6, 3.08797
14.7, 3.05379
14.8, 3.01985
14.9, 2.98616
15, 2.9527
15.1, 2.9195
15.2, 2.88654
15.3, 2.85382
15.4, 2.82136
15.5, 2.78915
15.6, 2.75719
15.7, 2.72549
15.8, 2.69404
15.9, 2.66285
16, 2.63192
